name,description
Željko Kalac,"Željko Kalac (born 16 December 1972) is a retired Australian football (soccer) goalkeeper. Standing at 2.02m, Kalac is one of the world's tallest professional goalkeepers. Kalac's preferred playing number (when not the conventional number 1) is 18 and has generally worn this number when playing for Australia. However, when he joined AC Milan in 2005, number 18 was already claimed by Marek Jankulovski, who joined at the same time, and so he chose number 16. When he transferred to Kavala, number 18 was also taken, so he settled for number 60."
A.C. Reed,"Aaron Corthen, better known as A.C. Reed (May 9, 1926 – February 24, 2004) was an American blues saxophonist, closely associated with the Chicago blues scene from the 1940s into the 2000s."
A. B. Spellman,"A(lfred). B. Spellman (born August 12, 1935,Nixonton, North Carolina), is an African-American poet, music critic, music historian, arts administrator, and author. He first garnered attention for his 1964 book of poems entitled The Beautiful Days. In 1966 he published a highly influential book on the history of African-American music entitled Four Lives in the Bebop Business Random House). From 1975 to 2005 he worked as an Arts Administrator for the National Endowment for the Arts. He has been particularly instrumental in supporting and forwarding jazz music within the United States."
A. B. Yehoshua,"Abraham B. Yehoshua is an Israeli novelist, essayist, and playwright, published as A. B. Yehoshua."
A. D. Hope,"Alec Derwent Hope AC OBE (21 July 1907 –13 July 2000) was an Australian poet and essayist known for his satirical slant. He was also a critic, teacher and academic."
A. E. Wilder-Smith,"Arthur Ernest Wilder-Smith, FRSC (1915–1995), more commonly known as A. E. Wilder-Smith, was a British organic chemist and young Earth creationist."
A. J. Cook,"Andrea Joy Cook (born July 22, 1978) is a Canadian actress best known for her role as Supervisory Special Agent Jennifer ""JJ"" Jareau in the CBS crime drama Criminal Minds. She has also appeared in several Hollywood films including The Virgin Suicides, Out Cold, and Final Destination 2."
A. J. Edds,"A. J. Edds (born September 18, 1987) is an American football linebacker for the Indianapolis Colts of the National Football League (NFL). He was drafted by the Miami Dolphins in the fourth round of the 2010 NFL Draft. He played college football at Iowa. He has also been a member of the New England Patriots."
A. J. Liebling,"Abbott Joseph ""A.J. "" Liebling (October 18, 1904 – December 28, 1963) was an American journalist who was closely associated with The New Yorker from 1935 until his death."
A. J. Quinnell,"A. J. Quinnell was the pen name of the English thriller novelist Philip Nicholson. He is best known for his novel Man on Fire, which has been adapted to film twice, most recently in 2004 featuring Denzel Washington."
A. Lee Martinez,"A. Lee Martinez is an American fantasy and science fiction author. He has been a member of the DFW Writers' Workshop since 1995. He currently resides in Terrell, Texas."
A. Merritt,"Abraham Grace Merritt (January 20, 1884–August 21, 1943) — known by his byline, A. Merritt — was an American Sunday magazine editor and a writer of fantastic fiction. The Science Fiction and Fantasy Hall of Fame inducted him in 1999, its fourth class of two deceased and two living writers."
A. Philip Randolph,"A. Philip Randolph (April 15, 1889 – May 16, 1979) was a leader in the African-American civil-rights movement, the American labor movement and socialist political parties. He organized and led the Brotherhood of Sleeping Car Porters, the first predominantly Black labor union. In the early civil-rights movement, Randolph led the March on Washington Movement, which convinced President Franklin D. Roosevelt to issue Executive Order 8802 in 1941, banning discrimination in the defense industries during World War II. After the war Randolph pressured President Harry S. Truman to issue Executive Order 9981 in 1948, ending segregation in the armed services. In 1963, Randolph was the head of the March on Washington, which was organized by Bayard Rustin, at which Reverend Martin Luther King, Jr. delivered his ""I Have A Dream"" speech. Randolph inspired the Freedom budget, sometimes called the ""Randolph Freedom budget"", which aimed to deal with the economic problems facing the Black community, particularly workers and the unemployed."
Aaron Burr,"Aaron Burr, Jr. (February 6, 1756 – September 14, 1836) was the third Vice President of the United States under President Thomas Jefferson. After serving as a Continental Army officer in the Revolutionary War, Burr became a successful lawyer and politician. He was elected twice to the New York State Assembly (1784–1785, 1798–1799), was appointed New York State Attorney General (1789–1791), was chosen as a United States Senator (1791–1797) from the state of New York, and reached the apex of his career as Vice President of the United States (1801–1805). The highlight of Burr's tenure as President of the Senate (one of his few official duties as Vice President) was the Senate's first impeachment trial, of Supreme Court Justice Samuel Chase. In 1804, the last full year of his single term as Vice President, Burr killed his political rival Alexander Hamilton in a duel. Burr was never tried for the illegal duel, and all charges against him were eventually dropped. The death of Hamilton, however, ended Burr's political career. President Jefferson dropped him from the ticket for the 1804 presidential election, and he never held office again. After leaving Washington, Burr traveled west seeking new opportunities, both economic and political. His activities eventually led to his arrest on charges of treason in 1807. Although the subsequent trial resulted in acquittal, Burr's western schemes left him with large debts and few influential friends. In a final quest for grand opportunities, he left the United States for Europe. He remained overseas until 1812, when he returned to the United States to practice law in New York City. There he spent the remainder of his long life in relative obscurity."
Aaron Gray,"Aaron Michael Gray (born December 7, 1984 in Tarzana, California) is an American professional basketball player who currently plays for the Toronto Raptors of the NBA."
Aaron Hughes,"Aaron William Hughes (born 8 November 1979) is a Northern Irish footballer who plays as a defender for Fulham. Hughes is able to play centre back, right back or left back, as well as anywhere in midfield. He is usually deployed in a centre half position for his club and country, and was the Northern Ireland captain until his initial retirement in 2011. Hughes is renowned for his disciplined defending, as he holds a record of making over 400 Premier League appearances without getting sent off, which is the third most in the history of the league."
Aaron Hunt,Aaron Hunt (born 4 September 1986 in Goslar) is a German footballer who plays for Werder Bremen.
Aaron Paul,"Aaron Paul (born Aaron Paul Sturtevant; August 27, 1979) is an American actor. After appearing in American television shows, including a recurring role on the HBO series Big Love, Paul came to prominence in 2008 for his critically acclaimed role as Jesse Pinkman in the AMC series Breaking Bad. Paul has won two Primetime Emmy Awards for Outstanding Supporting Actor in a Drama Series for his role in the series."
Aaron Scott (footballer),"Aaron James Scott (born 18 July 1986) is a New Zealand footballer who plays for NZFC side Waitakere United and has represented New Zealand under 23 at the Olympics and played for the senior side, the All Whites."
Aaron Sorkin,"Aaron Sorkin (born June 9, 1961) is an Academy and Emmy-award winning American screenwriter, producer, and playwright, whose works include A Few Good Men, The American President, The West Wing, Sports Night, Studio 60 on the Sunset Strip, Charlie Wilson's War, The Social Network, Moneyball and The Newsroom. After graduating from Syracuse University with a Bachelor of Fine Arts degree in Musical Theatre in 1983, Sorkin spent much of the 1980s in New York as a struggling, sporadically employed actor. He found his passion in writing plays, and quickly established himself as a promising young playwright. His stage play A Few Good Men caught the attention of Hollywood producer David Brown, who bought the film rights before the play even premiered. Castle Rock Entertainment hired Sorkin to adapt A Few Good Men for the big screen. The film, directed by Rob Reiner, became a box office success. Sorkin spent the early 1990s writing two other screenplays at Castle Rock, Malice and The American President. In the mid-1990s he worked as a script doctor on films such as Bulworth. In 1998 his television career began when he created the comedy series Sports Night for the ABC network. The second season of Sports Night was its last and in 1999 overlapped with the debut of Sorkin's next TV series, the political drama The West Wing, this time for the NBC network. The West Wing won multiple Emmy Awards, and continued for three more seasons after he left the show at the end of its fourth season in 2003. He returned to television in 2006 with the dramedy Studio 60 on the Sunset Strip, about the backstage drama at a late-night sketch comedy show, once again for the NBC network. While Sorkin's return was met with high expectations and a lot of early online buzz before Studio 60's premiere, NBC did not renew it after its first season in which it suffered from low ratings and mixed reception in the press and on the Internet. He also wrote the feature film screenplay for The Social Network, winning the Academy Award for Best Adapted Screenplay. After more than a decade away from the theatre, Sorkin returned to adapt for the stage his screenplay The Farnsworth Invention, which started a workshop run at La Jolla Playhouse in February 2007 and which opened on Broadway in December 2007. He was a cocaine addict for many years, but after a highly publicized arrest in 2001 he received treatment in a drug diversion program and is reported to have recovered. In television, Sorkin is known as a controlling writer, who rarely shares the credit of penning screenplays. His writing staff are more likely to do research and come up with stories for him to tell. His trademark rapid-fire dialogue and extended monologues are complemented, in television, by frequent collaborator Thomas Schlamme's characteristic directing technique called the ""walk and talk"". These sequences consist of single tracking shots of long duration involving multiple characters engaging in conversation as they move through the set; characters enter and exit the conversation as the shot continues without any cuts."
